Euroclear Number,E/C Participant,Country Code,Clearstream Number,Local Acct,External Instr.,Participant Name
10927,P,180,,,N,"TAKASBANK/CBANK,IST  "
10937,P,40,,,N,"ABN AMRO GC(FGCS)/EUROCCP,AMS    "
10942,P,30,,,N,"JPMC ITS/MORLEY FUND MNGT,LDN    "
10944,P,10,,,N,"BA NA/MPLP/GSS CHIC CL ASS,LDN   "
10950,P,70,,,N,"BPER/ARCAVITA INTL,MODENA    "
10962,P,800,,,N,"MALAYAN BKG BERHAD/BAHRAIN,KL    "
10969,P,180,,,N,"FINANSBANK AS,ISTANBUL   "
10980,P,981,,,N,"CITIBANK KOREA/TRUSTEE,SEOUL "
10981,P,820,,,N,"CITIBANK CHINA CO LTD,SHANGHAI   "
11004,P,20,,,N,"NATIXIS/FS TITRES,PAR    "
11006,P,840,,,N,"GCSC/GC SECS (HK) LTD,TAIPEI "
11013,P,30,,,N,"BK OF SCOTLAND PLC/1,LDN "
11023,P,70,,,N,"SGSS/FONDAPI,TURIN   "
11039,P,180,,,N,"VAKIFBK/V EMEK VET-VEU-VEG,ANK   "
11052,P,20,,,N,"ODDO CIE/FUNDSETTLE,PARIS    "
11057,P,740,,,N,"ISRAEL DISC BK/NONEX US,TELAV    "
11061,P,981,,,N,"KOOKMIN BK/CUSTODY 11,SEOUL  "
11064,P,461,,,N,"SG HAMBROS BK (CI)/ARMA,STH  "
11070,P,20,,,N,"BP2S/LDN-AGENCY LENDING,PAR  "
11071,P,30,,,N,"SG HAMBROS BK LTD/CLIENTS,LDN    "
11072,P,810,,,N,"PT BK NEGARA INDONESIA (P),JAK   "
11075,P,20,,,N,"BP2S/NATIXIS,PAR "
11078,P,70,,,N,"ALLIANZ BFA,MIL  "
11082,P,901,,,N,"ANDBANC,ESCALDES "
11083,P,901,,,N,"ANDBANC/ANDBANC C,ESCALDES   "
11084,P,901,,,N,"ANDBANC/ANDBANC F,ESCALDES   "
11086,P,461,,,N,"SG HAMBROS BK (CI)/DAH,STH   "
11090,P,70,,,N,"BCO DI SARDEGNA,SASSARI  "
11091,P,70,,,N,"BCO DI SARDEGNA/CLIENT,SASSARI   "
11096,P,70,,,N,"BCO DI SARDEGNA/ARCA V,SASSARI   "
11100,P,70,,,N,"ALETTI&C/TERZI,MILAN "
11105,P,975,,,N,"CITIBANK SINGAPORE LTD,SGP   "
11116,P,20,,,N,"CACEIS CT,PARIS  "
11117,P,30,,,N,"JPMC ITS/SPLG/URALSIB SECS,LDN   "
11118,P,30,,,N,"KBC FIN PROD UK/CAYMAN,LN    "
11146,P,30,,,N,"CLSA(UK),LDN "
11169,P,30,,,N,"JPMC ITS/SPLG/ALFA CP H CYP,LN   "
11194,P,150,,,N,"HSH NORDBANK SEC,LUX "
11201,P,30,,,N,"KAS NOMINEES,LDN "
11206,P,30,,,N,"JPMC ITS/FIMAT USA 30.7,LDN  "
11207,P,30,,,N,"JPMC ITS/FIMAT USA,LDN   "
11212,P,30,,,N,"JPMC ITS/BAJONETTEN DCM,LDN  "
11221,P,30,,,N,"RBS NV/MADEIRA BR,LDN    "
11227,P,60,,,N,"LANDESKREDITBK B-W FORDERBK,KR   "
11234,P,30,,,N,"UBS AG/NEW ISSUES STAB,LDN   "
11240,P,30,,,N,"JPMC IS/MORLEY FMSICAV,LN    "
11243,P,150,,,N,"CREDIT SUISSE LUX/DEP BK,LUX "
11244,P,30,,,N,"JPMC ITS/AVM LP CLIENT AC,LDN    "
11258,P,225,,,N,"ZAO KB CITIBANK/CLIENT,MOSCOW    "
11264,P,30,,,N,"JPMC ITS/SPLG/SOUTHWEST SEC,LN   "
11274,P,60,,,N,"NRW BANK, DUSSELDORF "
11296,P,30,,,N,"JPMC ITS/DB VANQSCM EUROCL,LDN   "
11302,P,830,,,N,"SHINSEI SECS CO/SHIN LDN,TOK "
11318,P,30,,,N,"JPMC ITS/RIDGE C&O SVC CUS,LDN   "
11319,P,30,,,N,"JPMC ITS/RIDGE C&O SVC INC,LDN   "
11326,P,60,,,N,"UNICREDIT BK AG,MUNICH   "
11327,P,0,,,N,BNYM SA/NV/NATIXIS CLIENTS   
11328,P,0,,,N,BNYM SA/NV/NBP CL SS-BDS TX E    
11335,P,30,,,N,"JPMC ITS/FALA DB NOMURA,LDN  "
11338,P,0,,,N,"ING BELGIUM/3P FUNDS/FS,BXL  "
11358,P,230,,,N,"KDPW,WARSAW  "
11364,P,30,,,N,"JPMC ITS/DEUTSCHE BK AG BC,LDN   "
11369,P,60,,,N,"ING-DIBA AG,NUERNBERG    "
11377,P,10,,,N,"STATE STR BK TRUST,BOSTON    "
11380,P,30,,,N,"MLI/MLCMB,LN "
11390,P,40,,,N,"CITIBANK INTL PLC/CLIENT,ADAM    "
11395,P,40,,,N,"CITIBANK INTL PLC,ADAM   "
11405,P,60,,,N,"SIEMENS AG/SIEMENS FIN SVS,MUN   "
11423,P,0,,,N,BNYM SA/NV/NBP GR ITL B TX EX    
11424,P,0,,,N,BNYM SA/NV/NBP GR EOC BK 
11426,P,10,,,N,"BNYM-BNY/POA NBP AV P BP,NY  "
11430,P,0,,,N,BNYM SA/NV/NBP CL GROUPE BP  
11431,P,0,,,N,BNYM SA/NV/NBP LA POSTE EOC B    
11432,P,10,,,N,"BNYM-BNY/NATIXIS AV P IT EX,NY   "
11433,P,0,,,N,BNYM SA/NV/NBP CLTS G BP IBTE    
11436,P,40,,,N,"BINCKBANK,AMSTERDAM  "
11437,P,40,,,N,"BEWAARBEDR BINCKBK/FS,AMS    "
11441,P,10,,,N,"DAIWA CAP MKTS AMER/COR CL,NY    "
11449,P,50,,,N,"SWISSQUOTE BK,GLAND  "
11486,P,30,,,N,"MSIP/MS EQUITY FIN DENM,LDN  "
11487,P,150,,,N,"DZ PRIVATBK/CLIENT,LUX   "
11488,P,150,,,N,"DZ PRIVATBK/A,LUX    "
11494,P,10,,,N,"BNYM-BNY/POA NBP HSBC FR,NY  "
11509,P,60,,,N,"INVESTITIONSBK BERLIN,BERLIN "
11512,P,10,,,N,"STATE STR BK TST,BOST    "
11527,P,40,,,N,"ABN AMRO GC(FGCS)/CHALCOT,AMS    "
11538,P,30,,,N,"MSIP/MS ASIA PROD LTD,LDN    "
11542,P,150,,,N,"NATIXIS BK SA/CL ACC,LUX "
11546,P,30,,,N,"UBS AG/IPB SEG CLIENT AC,LDN "
11586,P,850,,,N,"CITIBANK NA/CLIENT A/C 1,HK  "
11593,P,560,,,N,"BCO ITAU/MARCOS HENRIQUE,SP  "
11602,P,20,,,N,"BP2S/LDN-HEND UK GROWTH INC,PA   "
11603,P,20,,,N,"BP2S/LDN-HENDERSON GLOB FD,PAR   "
11604,P,20,,,N,"BP2S/LDN-HENDERSON PAN EUR,PAR   "
11610,P,20,,,N,"BP2S/LDN-OASIS GM-GEF,PAR    "
11612,P,20,,,N,"BP2S/LDN-OASIS GI-CRE GEF,PAR    "
11620,P,20,,,N,"BP2S/LDN-HENDERS STRAT INV,PAR   "
11623,P,20,,,N,"NATIXIS/EX ICIB/FUND,PAR "
11626,P,70,,,N,"ALLIANZ BFA/CLIENTS ACCT,MIL "
11629,P,70,,,N,"ALLIANZ BFA/MULTI EUROPA,MIL "
11631,P,70,,,N,"ALLIANZ BFA/MULTI 20,MIL "
11632,P,70,,,N,"ALLIANZ BFA/MULTI 50,MIL "
11633,P,70,,,N,"ALLIANZ BFA/D.C.TESORERIA,MIL    "
11634,P,70,,,N,"ALLIANZ BFA/MULTI 90,MIL "
11635,P,70,,,N,"ALLIANZ BFA/DART RETURN50,MIL    "
11636,P,70,,,N,"ALLIANZ BFA/DART RETURN100,MIL   "
11637,P,70,,,N,"ALLIANZ BFA/DART TARG STON,MIL   "
11638,P,70,,,N,"ALLIANZ BFA/DART TARG SIL,MILL   "
11639,P,70,,,N,"ALLIANZ BFA/DART TARG GOLD,MIL   "
11640,P,70,,,N,"ALLIANZ BFA/DART TARG PLAT,MIL   "
11641,P,70,,,N,"ALLIANZ BFA/DART TARG DIAM,MIL   "
11642,P,70,,,N,"ALLIANZ BFA/GEST.INDIV.TS,MIL    "
11643,P,70,,,N,"ALLIANZ BFA/AGI IT GEST IND,MI   "
11649,P,140,,,N,"BANKIA/BANCAJA-IIC,MADRID    "
11662,P,560,,,N,"BCO ITAU/BCO JPMORGAN,SP "
11663,P,190,,,N,"CITI FD SVCS/STD MAST FDS,DUB    "
11665,P,20,,,N,"BP2S/LDN-PANMURE GORDON,PAR  "
11673,P,810,,,N,"CITIBANK NA,JAKARTA  "
11674,P,180,,,N,"VAKIFBK/EUROBOND FONU,ANK    "
11676,P,850,,,N,"BK OF AMERICA,HK "
11678,P,50,,,N,"SG PRIVATE BK,LUGANO "
11679,P,970,,,N,"DUBAI ISLAMIC BK,DUBAI   "
11695,P,901,,,N,"CREDIT ANDORRA/VENCIMENT,AND "
11698,P,70,,,N,"BPER/SICAV,MODENA    "
11700,P,20,,,N,"DEXIA CREDIT LOCAL,PARIS "
11708,P,120,,,N,"BCO POPULAR PORT,LIS "
11730,P,850,,,N,"CLSA LTD/CLSA (MAURITIUS),HK "
11733,P,20,,,N,"CA CHEUVREUX/CA CHEU INT,PARIS   "
11736,P,820,74807,,N,"ICBC LTD,BEIJING "
11738,P,20,,,N,"BP2S/CARGIL INVESTOR SER,PAR "
11756,P,740,,,N,"UNION BK ISRAEL/OWN ASSETS,TAV   "
11780,P,30,,,N,"BK OF SCOTLAND PLC/3,LDN "
11781,P,180,,,N,"TAKASBANK/ECZACIBASI ECD,IST "
11784,P,30,,,N,"BK OF SCOTLAND PLC/4,LDN "
11827,P,20,,,N,"NATIXIS/EX ICIB/SEC LEND,PAR "
11839,P,50,,,N,"BSI/FUNDSETTLE,LUGANO    "
11841,P,981,,,N,"CITIBANK KOREA/PRU-AB60000,SEO   "
11851,P,20,,,N,"SOC GEN/PRET EMPRUNT CBS,PARIS   "
11870,P,20,,,N,"CREDIT SUISSE (F)/AVOIR CL,PAR   "
11871,P,975,,,N,"LGT BK (SGP)/CLIENT TST,SGP  "
11873,P,20,,,N,"BP2S/LISTED DERIVATIVES,PAR  "
11876,P,180,,,N,"TAKASBANK/AVIVA EMEKL AVB,IST    "
11945,P,10,,,N,"WACHOVIA BK NA/BSM,CHARLOTTE "
11963,P,40,,,N,"ABN AMRO GC(FGCS)/ALBANY,AMS "
11964,P,40,,,N,"ABN AMRO GC(FGCS)/CORINTH,AMS    "
11990,P,225,,,N,"GAZPROMBANK (OJSC),MOSCOW    "
11996,P,10,,,N,"IBT-STATE ST/BCM DUB AUTOL,BOS   "
12004,P,100,,,N,"DANSKE BK/VP CLIENTS,COP "
12019,P,30,,,N,"MSBI/SAFEKEEP,LDN    "
12038,P,40,,,N,"SCHRETLEN EN CO NV,AMSTERDAM "
12039,P,40,,,N,"BEWAARBEDR SCHRETLEN,ADAM    "
12053,P,860,,,N,"MACQUARIE BK/DBU LEGACY,SYDNEY   "
12054,P,40,,,N,"V LANSCHOT GLOB CUS/FS,SHERT "
12060,P,30,,,N,"MLI/EQUITIES MARKET ACCOUNT,LN   "
12071,P,0,,,N,"LELEUX ASS/SEGR AVOIRS CL,BXL    "
12073,P,0,,,N,"ARGENTA NV/LIFE LUX,ANTWERP  "
12077,P,225,,,N,"GAZPROMBANK (OJSC)/CLIENT,MOSC   "
12079,P,210,,,N,"LANDSBANKI ISLANDS,REYKJAVIK "
12080,P,30,,,N,"MLI/GEF MARKET ACCOUNT,LN    "
12085,P,30,,,N,"MLI/SBI,LN   "
12087,P,830,,,N,"UBS SEC JAP/CUST 3,TOK   "
12092,P,30,,,N,"MSIP/WEGELIN & CO,LDN    "
12094,P,10,,,N,"MERRILL LYNCH PFS/FRENCH FD,NY   "
12095,P,50,,,N,"BK SAL OPPENHEIM SCHW/FUND,ZUR   "
12115,P,30,,,N,"MLI/EQUITY NEW ISSUES,LN "
12118,P,30,,,N,"MSIL/MS V W ACCT,LDN "
12119,P,30,,,N,"MLI/GEF A/C HEADWATERS,LN    "
12125,P,830,,,N,"MIZUHO SECS,TOK  "
12127,P,130,,,N,"HYPO-BANK BURGENLAND,EIS "
12128,P,830,,,N,"MIZUHO SECS/CL,TOK   "
12138,P,60,,,N,"KFW IPEX,FKFT    "
12150,P,30,,,N,"MLI/GEF A/C SUSQ FRANCE,LN   "
12155,P,30,,,N,"MSIP/MSDW MAURITIUS CO LTD,LDN   "
12160,P,30,,,N,"MLI/GEF A/C SUSQ BELGIUM,LN  "
12170,P,30,,,N,"MLI/GEF A/C SUSQ HOLLAND,LN  "
12180,P,50,,,N,"ABN AMRO BK (SWITZ),ZUR  "
12213,P,229,,,N,"JSC RIETUMU BKA,RIGA "
12234,P,229,,,N,"JSC RIETUMU BKA/CLIENTS,RIGA "
12242,P,30,,,N,"UBS AG/OIL WARRANTS,LDN  "
12244,P,150,,,N,"SOC GEN BK & TST/OWN ACC,LUX "
12245,P,150,,,N,"SOC GEN BK & TST/CUST ACC,LUX    "
12249,P,40,,,N,"ING BK/EX PORTFOLIO LEND,ADAM    "
12260,P,610,,,N,"BCO SUPERVIELLE/FCI RTA GLO,BA   "
12264,P,20,,,N,"BNP PARIBAS/SPECIAL FINANC,PAR   "
12266,P,70,,,N,"MELIORBANCA,MILAN    "
12269,P,180,,,N,"TAKASBANK/AKBANK DNG,IST "
12274,P,560,,,N,"BCO ITAU/G4 MUL STRATEGY,SP  "
12275,P,560,,,N,"BCO ITAU/G4 GLOBAL,SP    "
12276,P,560,,,N,"BCO ITAU/G4 LONG SHORT,SP    "
12277,P,20,,,N,"NATIXIS/FS AVOIR PROPRE,PAR  "
12287,P,981,,,N,"EXP IMP BK KOREA/CLEARANCE,SE    "
12292,P,70,,,N,"BPER/ARCA T3,MODENA  "
12293,P,70,,,N,"BPER/ARCA T5,MODENA  "
12295,P,981,,,N,"EXP IMP BK KOREA/OFFSHORE,SE "
12312,P,30,,,N,"RBS/RBS SGP,LDN  "
12315,P,600,,,N,"BCO CENT URUGUAY,MONT    "
12317,P,962,,,N,"CAIRO AMMAN BK,AMMAN "
12319,P,20,,,N,"PROCAPITAL/FUNDSETTLE,PARIS  "
12321,P,20,,,N,"BP2S/GIE PSA TRESORERIE,PAR  "
12324,P,600,,,N,"BCO CENT URUGUAY/OPER INT,MONT   "
12403,P,70,,,N,"BCA ESPERIA,MILAN    "
12404,P,140,,,N,"BCO COOP ESP/TERCEROS,MAD    "
12416,P,180,,,N,"TAKASBANK/RAYMOND JAMES,IST  "
12417,P,180,,,N,"TAKASBANK/KOC ALL KGD,IST    "
12418,P,120,,,N,"BCO ESP SANTO/OWN ASSETS,LIS "
12420,P,760,,,N,"KUWAIT FIN HSE/MALAYSIA,SAFAT    "
12423,P,140,,,N,"GVC GAESCO VAL/C. PROPIA,BARC    "
12424,P,150,,,N,"BPER/LORDO,LUX   "
12426,P,20,,,N,"BNP PARIBAS/SPECIAL FINANC,PAR   "
12441,P,901,,,N,"BANCSABADELL,ANDORRA "
12450,P,180,,,N,"DENIZBANK/BAHRAIN BRANCH,IST "
12451,P,70,,,N,"ALLIANZ BFA/ALZ GL STR 15,MIL    "
12452,P,70,,,N,"ALLIANZ BFA/ALZ GL STR 30,MIL    "
12455,P,850,,,N,"JPM CHASE BK NA/TRY-CIO,HK   "
12457,P,660,,,N,"FARYNERS HOUSE INVEST LTD, GT    "
12462,P,50,,,N,"AXION SWISS BK/BAC SM,LUG    "
12468,P,30,,,N,"WESTPAC EUROPE LTD,LDN   "
12470,P,70,,,N,"ALLIANZ BFA/INS 4DIN AZ,MIL  "
12471,P,70,,,N,"ALLIANZ BFA/INS 3SEREN BIL,MIL   "
12472,P,70,,,N,"ALLIANZ BFA/INS LI2 TRANQ,MIL    "
12473,P,70,,,N,"ALLIANZ BFA/RAS PREV4AZ IN,MIL   "
12475,P,70,,,N,"ALLIANZ BFA/RAS PREV3BILAN,MIL   "
12480,P,70,,,N,"ALLIANZ BFA/INS L1 SIC OBL,MIL   "
12493,P,610,,,N,"HSBC BK ARG/TRANS DE GAS,BA  "
12494,P,975,,,N,"DEUTSCHE BK AG/MATTERHORN,SGP    "
12497,P,20,,,N,"NATIXIS/REIMS CONSERV,PAR    "
12506,P,210,,,N,"LANDSBANKI ISLANDS/CLIENT,REYK   "
12510,P,60,,,N,"WESTLB AG/CLIENT,DUS "
12515,P,30,,,N,"JPMC ITS/NIKITAS BROK LD A,LDN   "
12516,P,30,,,N,"JPMC ITS/NIKITAS BROK LD B,LDN   "
12535,P,150,,,N,"SOC GEN BK & TST/GE,LUX  "
